gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
CORT	NM_001302	0.00	0.00	0.00	0.00	0.00	0.00	2.11	1.92	3.81	1.60	6.46	0.00
COTL1	NM_021149	417.00	480.00	405.00	180.00	184.00	202.00	2953.00	3366.00	3123.00	3178.00	3440.00	3608.00
COX10	NM_001303	65.00	77.00	92.00	128.00	123.00	144.00	416.00	400.00	400.00	362.00	352.00	416.00
COX10-AS1	NR_049718	8.00	5.00	6.00	3.00	2.00	1.00	27.00	39.00	34.00	30.00	49.00	31.00
COX11	NM_001162861,NM_001162862,NM_004375,NR_027941,NR_027942	45.00	48.00	56.00	113.00	134.00	110.00	427.00	459.00	344.00	471.00	441.00	455.00
COX14	NM_001257133,NM_001257134,NM_032901	22.00	37.00	32.00	55.00	65.00	103.00	197.00	180.00	226.00	171.00	196.00	166.00
COX15	NM_004376,NM_078470	67.00	54.00	56.00	87.00	100.00	100.00	731.00	658.00	692.00	794.00	732.00	787.00
COX16	NM_001204090,NM_016468	37.32	52.00	68.00	82.00	86.00	68.00	378.00	423.00	420.00	425.00	329.00	367.00
COX17	NM_005694	26.00	42.00	30.00	54.00	64.00	63.00	261.00	298.00	246.00	280.00	256.00	277.00
COX18	NM_001297732,NM_001297733,NM_001300729,NM_173827	21.00	20.00	30.00	48.00	56.00	49.00	334.00	313.00	310.00	374.00	357.00	375.00
COX19	NM_001031617	30.00	29.00	19.00	43.00	37.00	41.00	265.00	299.00	316.00	208.00	241.00	261.00
COX20	NM_198076	61.00	54.00	58.00	61.00	79.00	54.00	438.00	454.00	396.00	455.00	451.00	419.00
COX4I1	NM_001861	483.00	461.00	453.00	848.00	963.00	1027.00	2563.00	2877.00	2569.00	2534.00	2579.00	2562.00
COX4I2	NM_032609	0.00	0.00	0.00	0.00	0.00	0.00	11.00	19.00	16.00	15.00	11.00	12.00
COX5A	NM_004255	366.00	338.00	401.00	744.00	708.00	797.00	2204.00	2209.00	2031.00	2254.00	2202.00	2317.00
COX5B	NM_001862	180.00	191.00	182.00	388.00	411.00	506.00	1073.00	1373.00	1107.00	1083.00	1031.00	1283.00
COX6A1	NM_004373	531.00	557.00	575.00	1040.00	957.00	984.00	3250.00	3519.00	3393.00	2938.00	2758.00	3234.00
COX6A2	NM_005205	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00
COX6B1	NM_001863	495.00	443.00	413.00	716.00	782.00	877.00	2539.00	2708.00	2751.00	2080.00	2247.00	2594.00
COX6B2	NM_144613	6.00	6.00	8.00	13.00	15.00	8.00	143.00	169.00	172.00	118.00	151.00	172.00
COX6C	NM_004374	86.00	81.00	113.00	188.00	225.00	207.00	558.00	590.00	432.00	568.00	525.00	487.00
COX7A1	NM_001864	0.00	0.00	0.00	1.00	0.00	0.00	3.00	0.00	4.00	3.00	0.00	1.00
COX7A2	NM_001865,NR_029466	224.00	248.00	266.00	436.00	413.00	431.00	1417.00	1506.00	1424.00	1323.00	1146.00	1347.00
COX7A2L	NM_004718	131.00	128.00	117.00	204.00	198.00	199.00	918.00	940.00	781.00	829.00	853.00	811.00
COX7B	NM_001866	173.00	188.00	149.00	369.00	332.00	459.00	669.00	759.00	746.00	665.00	676.00	629.00
COX7B2	NM_130902	3.00	4.00	8.00	16.00	14.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00
COX7C	NM_001867	209.00	188.00	166.00	368.00	364.00	330.00	2931.00	2709.00	2953.00	3496.00	3184.00	3285.00
