gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
SNORD65	NR_003054	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD66	NR_003055	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD67	NR_003056	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD68	NR_002450	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD69	NR_003057	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD7	NR_003037	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD70	NR_003058	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD71	NR_003059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD72	NR_002583	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD73A	NR_000007	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD74	NR_002579	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD75	NR_003941	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD76	NR_003942	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD77	NR_003943	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD78	NR_003944	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD79	NR_003939	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD8	NR_002916	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD80	NR_003940	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD81	NR_003938	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD82	NR_004398	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD83A	NR_000027	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD83B	NR_000028	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD84	NR_003065_2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD85	NR_003066	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD86	NR_004399	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD87	NR_002598	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD88A	NR_003067	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD88B	NR_003068	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD88C	NR_003069	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD89	NR_003070	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD9	NR_003029	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD90	NR_003071	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD91A	NR_003072	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD91B	NR_003073	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD92	NR_003074	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD93	NR_003075	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD94	NR_004378	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
SNORD95	NR_002591	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD96A	NR_002592	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD96B	NR_004379	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD97	NR_004403	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
SNORD98	NR_003076	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNORD99	NR_003077	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNPH	NM_014723	6.00	4.00	5.00	2.00	6.00	6.00	148.00	155.00	160.00	176.00	192.00	187.00
SNRK	NM_001100594,NM_017719	56.00	60.00	56.00	66.00	79.00	65.00	449.00	412.00	367.00	410.00	383.00	326.00
SNRK-AS1	NR_046757	4.00	0.00	1.00	0.00	0.00	0.00	2.00	1.00	2.00	0.00	3.00	1.00
SNRNP200	NM_014014	953.00	857.00	944.00	1532.00	1449.00	1466.00	9907.00	10273.00	9279.00	9868.00	10148.00	10186.00
SNRNP25	NM_024571	65.00	62.00	46.00	124.00	98.00	106.00	345.00	405.00	320.00	320.00	315.00	326.00
SNRNP27	NM_006857,NR_037862	57.00	47.00	51.00	82.00	88.00	81.00	359.00	394.00	324.00	407.00	358.00	357.00
SNRNP35	NM_022717,NM_180699,NR_104103	25.00	29.00	26.00	31.00	32.00	43.00	194.00	174.00	158.00	164.00	180.00	144.00
SNRNP40	NM_004814	150.00	167.00	136.00	228.00	214.00	217.00	1245.00	1400.00	1255.00	1393.00	1388.00	1362.00
SNRNP48	NM_152551	34.00	30.00	22.00	51.00	54.00	33.00	512.00	450.00	467.00	629.00	522.00	512.00
SNRNP70	NM_001301069,NM_003089	373.00	388.00	333.00	699.00	601.00	723.00	3971.00	4679.00	4003.00	3904.00	4342.00	4221.00
SNRPA	NM_004596	401.00	380.00	355.00	646.00	561.00	619.00	4417.00	4639.00	4943.00	4466.00	4677.00	5473.00
SNRPA1	NM_003090	126.00	121.00	133.00	214.00	196.00	183.00	1041.00	1069.00	828.00	1260.00	1120.00	1106.00
SNRPB	NM_003091,NM_198216	600.00	581.00	543.00	983.00	976.00	1125.00	3365.00	4122.00	3462.00	3521.00	3754.00	4185.00
SNRPB2	NM_003092,NM_198220	168.00	157.00	196.00	275.00	233.00	193.00	937.00	768.00	871.00	1015.00	877.00	824.00
SNRPC	NM_003093,NR_029472	389.00	413.00	421.00	1045.00	1143.00	1209.00	2090.00	2217.00	2074.00	2154.00	2051.00	2461.00
SNRPD1	NM_001291916,NM_006938	128.00	153.00	136.00	252.00	250.00	233.00	975.00	918.00	802.00	1141.00	917.00	972.00
SNRPD2	NM_004597,NM_177542	346.00	404.00	347.00	483.00	503.00	514.00	2612.00	3135.00	2576.00	2601.00	2486.00	2943.00
SNRPD2P2	NR_033826	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNRPD3	NM_001278656,NM_004175,NR_103819	329.00	345.00	337.00	663.00	618.00	551.00	1996.00	2082.00	2111.00	2246.00	2041.00	2190.00
SNRPE	NM_001304464,NM_003094,NR_130746	104.00	124.00	119.00	195.00	215.00	152.00	775.00	768.00	660.00	839.00	693.00	715.00
SNRPF	NM_003095	124.00	159.00	137.00	233.00	232.00	200.00	1066.00	961.00	906.00	1197.00	1124.00	1057.00
SNRPG	NM_003096	100.00	132.00	132.00	216.00	252.00	156.00	688.00	713.00	613.00	883.00	726.00	730.00
SNRPN	NM_003097,NM_022805,NM_022806,NM_022807,NM_022808	219.37	173.14	175.75	471.03	446.99	467.29	6776.45	7913.69	6980.28	7556.04	8135.01	8647.53
SNTA1	NM_003098	23.00	18.00	19.00	29.00	23.00	20.00	381.00	451.00	393.00	316.00	352.00	375.00
SNTB1	NM_021021	8.00	1.00	10.00	1.00	2.00	0.00	479.00	437.00	364.00	322.00	365.00	314.00
SNTB2	NM_006750	57.00	70.00	70.00	112.00	108.00	94.00	376.00	371.00	414.00	436.00	396.00	401.00
SNTG1	NM_001287813,NM_001287814,NM_018967	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
SNTG2	NM_018968	0.00	0.00	0.00	0.00	0.00	0.00	62.00	70.00	81.00	53.00	32.00	51.00
SNTN	NM_001080537	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00
SNU13	NM_001003796,NM_005008	352.00	372.00	347.00	651.00	653.00	770.00	1816.00	1930.00	1847.00	1687.00	1681.00	1919.00
SNUPN	NM_001042581,NM_001042588,NM_005701	52.00	52.00	36.00	60.00	76.00	89.00	249.00	246.00	232.00	242.00	273.00	252.00
SNURF	NM_005678,NM_022804	180.63	159.86	155.25	444.97	428.01	443.71	6818.55	8052.31	6941.72	7813.96	8322.99	8746.47
SNW1	NM_012245	143.00	169.00	154.00	399.00	356.00	307.00	1155.00	1289.00	1001.00	1348.00	1177.00	1240.00
SNX1	NM_001242933,NM_003099,NM_148955	114.00	122.00	122.00	75.00	51.00	64.00	893.00	959.00	822.00	806.00	786.00	863.00
SNX10	NM_001199835,NM_001199837,NM_001199838,NM_013322,NR_037670	18.00	17.00	13.00	12.00	20.00	19.00	295.00	275.00	272.00	300.00	252.00	225.00
SNX11	NM_013323,NM_152244	41.00	35.00	38.00	62.00	45.00	52.00	253.00	274.00	267.00	236.00	233.00	235.00
SNX12	NM_001256185,NM_001256186,NM_001256187,NM_001256188,NM_013346	207.00	189.00	208.00	164.00	172.00	176.00	782.00	804.00	909.00	897.00	954.00	973.00
SNX13	NM_015132	77.00	94.00	74.00	80.00	74.00	71.00	550.00	517.00	447.00	609.00	537.00	505.00
SNX14	NM_001297614,NM_001304479,NM_020468,NM_153816	43.00	55.00	81.00	84.00	79.00	67.00	452.00	497.00	408.00	448.00	428.00	414.00
SNX15	NM_013306,NM_147777	74.00	68.00	58.00	136.00	154.00	156.00	359.00	393.00	340.00	334.00	281.00	346.00
SNX16	NM_022133,NM_152836,NM_152837	10.00	8.00	10.00	27.00	24.00	25.00	180.00	138.00	142.00	216.00	167.00	162.00
SNX17	NM_001267059,NM_001267060,NM_001267061,NM_014748,NR_049782,NR_049783,NR_049784,NR_049785,NR_049786,NR_049787,NR_049788	207.00	176.00	194.00	193.00	213.00	241.00	1403.00	1538.00	1345.00	1305.00	1213.00	1475.00
SNX18	NM_001102575,NM_001145427,NM_052870	103.00	120.00	103.00	190.00	179.00	216.00	553.00	553.00	417.00	466.00	409.00	441.00
SNX19	NM_001301089,NM_014758	118.00	109.00	102.00	115.00	101.00	105.00	739.00	711.00	696.00	698.00	767.00	719.00
SNX2	NM_001278199,NM_003100	301.00	340.00	319.00	477.00	496.00	416.00	1442.00	1418.00	1282.00	1366.00	1281.00	1384.00
SNX20	NM_001144972,NM_153337,NM_182854	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNX21	NM_001042632,NM_001042633,NM_033421,NM_152897	40.00	56.00	32.00	128.00	107.00	157.00	326.00	410.00	368.00	356.00	398.00	378.00
SNX22	NM_024798,NR_073534	1.00	4.00	5.00	5.00	3.00	3.00	156.00	160.00	215.00	146.00	188.00	156.00
SNX24	NM_014035	51.00	47.00	34.00	89.00	86.00	56.00	280.00	243.00	258.00	248.00	212.00	232.00
SNX25	NM_031953	32.00	16.00	28.00	57.00	59.00	54.00	481.00	512.00	461.00	522.00	501.00	519.00
SNX27	NM_030918	79.00	88.00	84.00	115.00	122.00	113.00	601.00	550.00	614.00	655.00	583.00	580.00
SNX29	NM_032167	54.00	37.00	44.00	52.00	47.00	56.00	336.00	296.00	268.00	273.00	299.00	281.00
SNX29P1	NR_045011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.00	1.00	0.00
SNX29P2	NR_002939	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.18	6.00	5.00	1.00	4.00
SNX3	NM_001300928,NM_001300929,NM_003795,NM_152827	316.00	357.00	310.00	565.00	503.00	545.00	1275.00	1124.00	1157.00	1148.00	1016.00	1098.00
SNX30	NM_001012994	71.00	80.00	90.00	137.00	131.00	96.00	549.00	511.00	506.00	624.00	589.00	549.00
SNX31	NM_152628	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00	1.00	2.00	2.00	3.00
SNX32	NM_152760	0.00	0.00	3.00	0.00	0.00	1.00	55.00	66.00	91.00	25.00	44.00	45.00
SNX33	NM_153271	67.00	55.00	69.00	68.00	55.00	59.00	582.00	681.00	645.00	604.00	608.00	647.00
SNX4	NM_003794,NR_073435	94.00	95.00	88.00	209.00	216.00	164.00	414.00	386.00	370.00	419.00	394.00	340.00
SNX5	NM_001282454,NM_014426,NM_152227	393.00	390.00	427.00	808.00	743.00	653.00	1574.00	1539.00	1367.00	2054.00	1852.00	1941.00
SNX6	NM_021249,NM_152233	238.00	266.00	279.00	499.00	465.00	390.00	1198.00	1129.00	1010.00	1294.00	1142.00	1133.00
SNX7	NM_015976,NM_152238,NR_033716	64.00	54.00	61.00	108.00	133.00	113.00	317.00	353.00	257.00	298.00	319.00	258.00
SNX8	NM_013321	187.00	206.00	214.00	382.00	346.00	398.00	650.00	766.00	685.00	617.00	700.00	684.00
SNX9	NM_016224	113.00	135.00	153.00	149.00	129.00	122.00	578.00	660.00	597.00	515.00	502.00	564.00
SOAT1	NM_001252511,NM_001252512,NM_003101,NR_045530	189.00	141.00	181.00	266.00	288.00	293.00	177.00	176.00	164.00	148.00	128.00	152.00
SOAT2	NM_003578	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
SOBP	NM_018013	30.00	34.00	31.00	34.00	21.00	25.00	260.00	293.00	273.00	128.00	144.00	125.00
SOCS1	NM_003745	143.00	110.00	109.00	159.00	133.00	168.00	268.00	315.00	255.00	206.00	233.00	293.00
SOCS2	NM_001270467,NM_001270468,NM_001270469,NM_001270470,NM_001270471,NM_003877	60.00	63.00	76.00	56.00	52.00	46.00	241.00	252.00	265.00	197.00	178.00	177.00
SOCS2-AS1	NR_038263	0.00	0.00	1.00	1.00	0.00	0.00	2.00	6.00	6.00	3.00	4.00	4.00
SOCS3	NM_003955	836.00	802.00	725.00	242.00	229.00	325.00	160.00	186.00	190.00	171.00	219.00	224.00
SOCS4	NM_080867,NM_199421	56.00	50.00	81.00	150.00	156.00	146.00	494.00	446.00	455.00	582.00	471.00	465.00
SOCS5	NM_014011,NM_144949	30.00	52.00	54.00	84.00	63.00	55.00	439.00	384.00	378.00	495.00	455.00	424.00
SOCS6	NM_004232	80.00	84.00	88.00	90.00	91.00	110.00	433.00	390.00	317.00	475.00	421.00	364.00
SOCS7	NM_014598	69.00	44.00	57.00	94.00	93.00	98.00	764.00	772.00	756.00	796.00	884.00	809.00
SOD1	NM_000454	208.00	210.00	189.00	341.00	364.00	370.00	1384.00	1566.00	1310.00	1458.00	1435.00	1524.00
SOD2	NM_000636,NM_001024465,NM_001024466	53.00	49.00	44.00	155.00	169.00	152.00	343.00	363.00	290.00	406.00	396.00	393.00
SOD3	NM_003102	27.00	21.00	23.00	9.00	5.00	11.00	209.00	308.00	231.00	141.00	161.00	227.00
SOGA1	NM_080627,NM_199181	52.00	46.00	65.00	108.00	115.00	113.00	916.00	1046.00	884.00	899.00	1085.00	959.00
SOGA3	NM_001012279	0.00	0.00	0.00	0.00	0.00	0.00	406.16	466.00	321.00	542.26	514.00	520.00
SOHLH1	NM_001012415,NM_001101677	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00
SOHLH2	NM_001282147,NM_017826	41.00	34.00	32.00	168.00	152.00	150.00	53.00	40.00	75.00	68.00	26.61	73.58
SON	NM_001291411,NM_001291412,NM_032195,NM_138927,NR_103797	919.00	875.00	993.00	1597.00	1609.00	1478.00	6270.00	6254.00	5199.00	7071.00	7350.00	6725.00
SORBS1	NM_001034954,NM_001034955,NM_001034956,NM_001034957,NM_001290294,NM_001290295,NM_001290296,NM_001290297,NM_001290298,NM_006434,NM_015385,NM_024991	60.00	61.00	64.00	215.00	206.00	213.00	1020.00	1006.00	1008.00	1090.00	1095.00	1091.00
SORBS2	NM_001145670,NM_001145671,NM_001145672,NM_001145673,NM_001145674,NM_001145675,NM_001270771,NM_003603,NM_021069	3.00	4.00	3.00	1.00	1.00	0.00	1032.00	1108.00	973.00	595.00	674.00	591.00
SORBS3	NM_001018003,NM_005775	287.00	235.00	241.00	224.00	228.00	267.00	1946.00	2295.00	2145.00	1484.00	1818.00	2031.00
SORCS1	NM_001013031,NM_001206569,NM_001206570,NM_001206571,NM_001206572,NM_052918	2.00	4.00	4.00	0.00	0.00	1.00	367.00	405.00	326.00	265.00	241.00	292.00
SORCS2	NM_020777	1.00	2.00	0.00	0.00	0.00	0.00	198.00	183.00	189.00	92.00	99.00	98.00
SORCS3	NM_014978	0.00	0.00	0.00	0.00	0.00	0.00	60.00	70.00	72.00	21.00	29.00	26.00
SORCS3-AS1	NR_104028	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SORD	NM_003104,NR_034039	67.00	30.00	46.00	23.00	32.00	33.00	1215.00	1334.00	1221.00	1251.00	1237.00	1316.00
SORL1	NM_003105	33.00	34.00	39.00	44.00	45.00	23.00	4948.00	4729.00	3956.00	3948.00	4120.00	3885.00
SORT1	NM_001205228,NM_002959	138.00	149.00	143.00	237.00	215.00	197.00	1254.00	1127.00	1051.00	1253.00	1222.00	1226.00
SOS1	NM_005633	128.00	123.00	125.00	192.00	195.00	173.00	743.00	698.00	567.00	783.00	787.00	723.00
SOS2	NM_006939	34.00	53.00	34.00	51.00	40.00	44.00	271.00	280.00	262.00	282.00	269.00	265.00
SOST	NM_025237	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	7.00	7.00	7.00
SOSTDC1	NM_015464	2.00	1.00	0.00	1.00	0.00	0.00	17.00	28.00	22.00	13.00	12.00	12.00
SOWAHA	NM_175873	24.00	22.00	27.00	5.00	4.00	13.00	3.00	4.00	4.00	5.00	3.00	2.00
SOWAHB	NM_001029870	1.00	3.00	0.00	1.00	2.00	1.00	41.00	69.00	60.00	20.00	19.00	20.00
SOWAHC	NM_023016	29.00	34.00	46.00	52.00	53.00	55.00	482.00	426.00	347.00	476.00	451.00	417.00
SOWAHD	NM_001105576	0.00	0.00	1.00	3.00	1.00	13.00	34.00	39.00	35.00	31.00	37.00	35.00
SOX1	NM_005986	0.00	0.00	0.00	0.00	0.00	1.00	6.00	1.00	3.00	1.00	2.00	1.00
SOX10	NM_006941	2.00	0.00	4.00	4.00	1.00	7.00	261.00	292.00	273.00	194.00	190.00	254.00
SOX11	NM_003108	11.00	13.00	9.00	1.00	0.00	0.00	2255.00	2440.00	2044.00	2478.00	2559.00	2463.00
SOX12	NM_006943	99.00	103.00	91.00	42.00	35.00	39.00	1931.00	2636.00	2054.00	1896.00	2192.00	2230.00
SOX13	NM_005686	209.00	198.00	200.00	205.00	186.00	210.00	1782.00	2163.00	1919.00	1720.00	1953.00	2122.00
SOX14	NM_004189	0.00	0.00	0.00	0.00	0.00	0.00	8.00	5.00	4.00	3.00	3.00	0.00
SOX15	NM_006942	16.00	26.00	18.00	198.00	202.00	221.00	101.00	113.00	109.00	140.00	182.00	190.00
SOX17	NM_022454	8.00	5.00	3.00	4.00	8.00	4.00	0.00	0.00	5.00	0.00	0.00	1.00
SOX18	NM_018419	3.00	1.00	8.00	5.00	4.00	10.00	19.00	53.00	25.00	8.00	13.00	11.00
SOX2	NM_003106	36.00	49.00	33.00	330.00	289.00	299.00	5550.00	6374.00	5229.00	8135.00	7529.00	7721.00
SOX2-OT	NR_004053,NR_075089,NR_075090,NR_075091,NR_075092,NR_075093	4.00	0.00	0.00	9.00	8.00	12.00	131.00	130.00	122.00	221.00	188.00	166.00
SOX21	NM_007084	0.00	1.00	0.00	4.00	4.00	4.00	1518.00	1700.00	1438.00	1378.00	1430.00	1354.00
SOX21-AS1	NR_046514	1.00	1.00	0.00	2.00	4.00	0.00	134.00	157.00	117.00	145.00	135.00	164.00
SOX3	NM_005634	9.00	3.00	7.00	5.00	7.00	11.00	1692.00	1891.00	1726.00	1108.00	1221.00	1405.00
SOX30	NM_001308165,NM_007017,NM_178424	1.00	0.00	1.00	3.00	2.00	3.00	0.00	0.00	1.00	0.00	0.00	0.00
SOX4	NM_003107	521.00	490.00	507.00	685.00	701.00	695.00	3216.00	3249.00	2950.00	3307.00	3256.00	3308.00
SOX5	NM_001261414,NM_001261415,NM_006940,NM_152989,NM_178010	24.00	18.00	23.00	2.00	1.00	1.00	73.00	106.00	69.00	70.00	56.00	57.00
SOX6	NM_001145811,NM_001145819,NM_017508,NM_033326	117.00	117.00	109.00	11.00	17.00	15.00	25.00	42.00	24.00	15.00	5.00	2.00
SOX7	NM_031439	17.00	7.00	12.00	8.00	2.00	10.00	47.00	38.00	63.00	37.00	22.00	25.00
SOX8	NM_014587	9.00	3.00	2.00	8.00	9.00	6.00	313.00	401.00	315.00	184.00	207.00	211.00
SOX9	NM_000346	59.00	69.00	76.00	45.00	40.00	34.00	330.00	435.00	327.00	252.00	279.00	226.00
SOX9-AS1	NR_103737,NR_103738	0.00	0.00	2.00	0.00	0.00	0.00	11.00	13.00	10.00	6.00	5.00	5.00
SP1	NM_001251825,NM_003109,NM_138473	288.00	277.00	343.00	596.00	565.00	603.00	2002.00	1878.00	1876.00	2422.00	2249.00	2300.00
SP100	NM_001080391,NM_001206701,NM_001206702,NM_001206703,NM_001206704,NM_003113	5.00	12.00	8.00	1.00	1.00	0.00	5.00	0.00	4.00	3.00	1.00	0.00
SP110	NM_001185015,NM_004509,NM_004510,NM_080424	5.00	5.00	8.00	2.00	0.00	0.00	38.00	41.00	26.00	50.00	39.00	47.00
SP140	NM_001005176,NM_001278451,NM_001278452,NM_001278453,NM_007237	1.04	1.00	1.00	0.00	1.00	3.00	0.00	0.00	2.00	0.00	1.00	0.00
SP140L	NM_001308162,NM_001308163,NM_138402	18.96	16.00	13.00	4.00	8.00	4.00	8.00	10.00	8.00	9.00	7.00	5.00
SP2	NM_003110	86.00	85.00	86.00	143.00	116.00	161.00	451.00	552.00	474.00	379.00	470.00	539.00
SP2-AS1	NR_103856,NR_103857	1.00	0.00	1.00	0.00	1.00	0.00	4.00	6.00	9.00	2.00	4.00	3.00
SP3	NM_001017371,NM_001172712,NM_003111	441.00	409.00	443.00	468.00	467.00	374.00	1285.00	1171.00	1053.00	1627.00	1444.00	1330.00
SP4	NM_003112	19.00	21.00	19.00	44.00	52.00	51.00	533.00	541.00	422.00	627.00	646.00	492.00
SP5	NM_001003845	60.00	56.00	59.00	119.00	115.00	157.00	218.00	285.00	240.00	45.00	44.00	36.00
SP6	NM_001258248,NM_199262	343.00	343.00	358.00	36.00	37.00	42.00	118.00	131.00	119.00	61.00	53.00	45.00
SP7	NM_001173467,NM_001300837,NM_152860	2.00	0.00	0.00	0.00	0.00	0.00	12.00	5.00	7.00	6.00	6.00	6.00
SP8	NM_182700,NM_198956	39.00	23.00	25.00	235.00	228.00	326.00	263.00	340.00	270.00	75.00	81.00	77.00
SP9	NM_001145250	2.00	3.00	2.00	0.00	1.00	0.00	6.00	4.00	4.00	1.00	0.00	1.00
SPA17	NM_017425	12.00	18.00	14.00	6.00	15.00	14.00	195.00	160.00	161.00	132.00	107.00	117.00
SPACA1	NM_030960	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPACA3	NM_173847	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPACA4	NM_133498	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPACA5	NM_205856,NM_205856_1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPACA5B	NM_001079900,NM_001079900_1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
SPACA6P	NR_024330	8.00	9.00	8.00	4.00	5.00	10.00	32.00	40.00	60.00	39.00	42.00	38.00
SPACA6P-AS	NR_108100	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	3.00	1.00	4.00	2.00
SPACA7	NM_145248	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPAG1	NM_003114,NM_172218	7.00	11.00	14.00	6.00	12.00	10.00	29.00	30.00	34.00	33.00	18.00	21.00
SPAG11A	NM_001081552	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPAG11B	NM_016512_1,NM_058200,NM_058201,NM_058202,NM_058203,NM_058203_2,NM_058206,NM_058207	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPAG16	NM_001025436,NM_024532,NR_047659,NR_047660	5.00	9.00	17.00	15.00	15.00	8.00	191.00	185.00	151.00	182.00	159.00	162.00
SPAG17	NM_206996	0.00	0.00	0.00	0.00	0.00	0.00	11.00	17.00	12.00	8.00	10.00	8.00
SPAG4	NM_003116	0.00	0.00	3.00	4.00	0.00	1.00	79.00	123.00	85.00	72.00	68.00	84.00
SPAG5	NM_006461	208.00	196.00	251.00	542.00	498.00	514.00	2009.00	2215.00	1877.00	2056.00	2159.00	2348.00
SPAG5-AS1	NR_040012	0.00	0.00	0.00	0.00	0.00	0.00	1.00	4.00	0.00	4.00	2.00	2.00
SPAG6	NM_001253854,NM_001253855,NM_012443,NM_172242	4.00	6.00	8.00	1.00	1.00	1.00	76.00	107.00	92.00	5.00	4.00	2.00
SPAG7	NM_004890	118.00	125.00	120.00	181.00	180.00	186.00	803.00	1018.00	819.00	899.00	857.00	880.00
SPAG8	NM_001039592,NM_172312	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	5.00	2.00	7.00	7.00
SPAG9	NM_001130527,NM_001130528,NM_001251971,NM_003971	194.00	188.00	191.00	236.00	227.00	212.00	1160.00	1152.00	965.00	1349.00	1447.00	1280.00
SPAM1	NM_001174044,NM_001174045,NM_001174046,NM_003117,NM_153189	4.00	0.00	0.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00	1.00	0.00
SPANXA1	NM_013453,NM_013453_1	0.00	0.00	0.00	0.50	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPANXA2	NM_145662,NM_145662_1	0.00	0.00	0.00	0.50	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPANXA2-OT1	NR_037183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
SPANXB1	NM_032461	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	2.00
