name,group
SMG7,Non bivalent
RGL1,Non bivalent
TSEN15,Non bivalent
C1orf21,Always_up
RNF2,Non bivalent
SWT1,Non bivalent
HMCN1,Always_up
C1orf27,Non bivalent
PLA2G4A,Non bivalent
RGS13,Non bivalent
RGS2,Always_up
TROVE2,Non bivalent
CDC73,Always_up
CFH,Non bivalent
C1orf53,Always_up
LHX9,Always_up
NEK7,Non bivalent
NR5A2,Non bivalent
CAMSAP2,Non bivalent
C1orf106,Non bivalent
PKP1,Always_up
RPS10P7,Non bivalent
NAV1,Always_up
IPO9,Non bivalent
SHISA4,Non bivalent
TIMM17A,Non bivalent
RNPEP,Non bivalent
ELF3,Non bivalent
GPR37L1,Non bivalent
LGR6,Always_up
PPP1R12B,Non bivalent
PCAT6,Non bivalent
LOC148709,Non bivalent
TMEM183A,Non bivalent
PPFIA4,Non bivalent
ADORA1,Non bivalent
BTG2,Always_up
PRELP,Ni_higher_than_Pr
ATP2B4,Non bivalent
LINC00260,Non bivalent
ZC3H11A,Non bivalent
ZBED6,Non bivalent
SNRPE,Non bivalent
SOX13,Non bivalent
MDM4,Non bivalent
TMCC2,Non bivalent
CDK18,Non bivalent
LOC284581,Non bivalent
LOC103021295,Non bivalent
SRGAP2,Non bivalent
IKBKE,Non bivalent
RASSF5,Always_up
DYRK3,Ni_higher_than_Pr
MAPKAPK2,Always_up
PFKFB2,Non bivalent
C4BPB,Non bivalent
CD55,Non bivalent
CR2,Always_up
CR1L,Non bivalent
CD46,Non bivalent
MIR205HG,Non bivalent
G0S2,Always_up
TRAF3IP3,Non bivalent
DIEXF,Non bivalent
SYT14,Ni_higher_than_Pr
SERTAD4,Always_up
HHAT,Always_up
RCOR3,Non bivalent
TRAF5,Ni_higher_than_Pr
LINC00467,Ni_higher_than_Pr
DTL,Non bivalent
PPP2R5A,Non bivalent
NENF,Always_up
ATF3,Non bivalent
TATDN3,Non bivalent
FLVCR1,Non bivalent
VASH2,Non bivalent
RPS6KC1,Non bivalent
PROX1,Always_up
SMYD2,Always_up
CENPF,Non bivalent
KCNK2,Non bivalent
KCTD3,Non bivalent
RRP15,Non bivalent
TGFB2,Always_up
LYPLAL1,Non bivalent
IARS2,Non bivalent
MARK1,Non bivalent
C1orf115,Always_up
MARC2,Always_up
MARC1,Non bivalent
HLX,Pr_higher_than_Ni
TAF1A-AS1,Always_up
MIA3,Non bivalent
BROX,Non bivalent
DISP1,Ni_higher_than_Pr
CAPN2,Ni_higher_than_Pr
FBXO28,Non bivalent
DEGS1,Non bivalent
CNIH4,Non bivalent
CNIH3,Always_up
DNAH14,Non bivalent
SRP9,Non bivalent
EPHX1,Non bivalent
H3F3AP4,Non bivalent
MIXL1,Non bivalent
PSEN2,Non bivalent
ADCK3,Non bivalent
ZNF678,Non bivalent
SNAP47,Non bivalent
WNT3A,Always_up
ARF1,Non bivalent
GUK1,Non bivalent
IBA57,Non bivalent
OBSCN,Non bivalent
RNF187,Non bivalent
RHOU,Non bivalent
RAB4A,Non bivalent
URB2,Non bivalent
GALNT2,Non bivalent
COG2,Non bivalent
ARV1,Ni_higher_than_Pr
GNPAT,Non bivalent
SPRTN,Non bivalent
TSNAX,Non bivalent
TSNAX-DISC1,Non bivalent
DISC1,Non bivalent
MAP10,Always_up
NTPCR,Non bivalent
KIAA1804,Always_up
KCNK1,Always_up
COA6,Non bivalent
GGPS1,Non bivalent
TBCE,Non bivalent
GPR137B,Always_up
EDARADD,Always_up
LGALS8,Non bivalent
ACTN2,Always_up
MTR,Always_up
RYR2,Always_up
CHRM3,Non bivalent
FMN2,Ni_higher_than_Pr
EXO1,Non bivalent
SDCCAG8,Non bivalent
ZBTB18,Always_up
DESI2,Non bivalent
COX20,Non bivalent
EFCAB2,Non bivalent
KIF26B,Always_up
