gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
AC016582.2	AC016582.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016629.8	AC016629.8	14.967	18	4	19	3	8	0	12	0	0	9.067	12.8	12	12
AC016738.3	AC016738.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016910.1	AC016910.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016995.3	AC016995.3	0	0	0	0	0	0	0	0	0	0	0	0	9	0
AC017060.1	AC017060.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018464.3	AC018464.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018470.4	AC018470.4	0	0	0	0	4	0	0	0	0	0	0	1	0	0
AC018647.3	AC018647.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018705.5	AC018705.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018742.1	AC018742.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018799.1	AC018799.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC019048.1	AC019048.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC019118.2	AC019118.2	1	0	0	0	0	0	0	0	0	0	14	0	0	0
AC020571.3	AC020571.3	24	37	54	7	16	10	10	1	0	5	19	14	17	5
AC022007.5	AC022007.5	0	0	5.4	14.122	9	0	0	0	0	0	0	3.623	0	15.594
AC022173.2	AC022173.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC022311.1	AC022311.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC024592.9	AC024592.9	0	0	0	0	0	0	0	11	0	0	0	0	0	0
AC027269.2	AC027269.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC037193.1	AC037193.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC058791.1	AC058791.1	15	6	5	8	15	29	21	44	19	20	17	6	17	30
AC068831.10	AC068831.10	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AC068858.1	AC068858.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC069277.1	AC069277.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC072062.1	AC072062.1	0	0	0	0	0	0	0	2	0	0	0	2	4	0
AC073128.10	AC073128.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC073133.1	AC073133.1	2	0	0	0	8	0	0	0	0	0	0	0	0	0
AC073283.4	AC073283.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC073321.3	AC073321.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
