gene_id	transcript_id(s)	H9_naive_EZH2i_R1	H9_naive_none_R1
MTL5	NM_001039656,NM_004923	14.00	58.00
MTM1	NM_000252	60.00	123.00
MTMR1	NM_001306144,NM_001306145,NM_003828	72.00	72.00
MTMR10	NM_017762_1	82.00	111.00
MTMR11	NM_001145862,NM_181873	3.00	18.00
MTMR12	NM_001040446,NM_001294343,NM_001294344	72.00	132.00
MTMR14	NM_001077525,NM_001077526,NM_022485	116.00	195.00
MTMR2	NM_001243571,NM_016156,NM_201278,NM_201281	165.00	154.00
MTMR3	NM_021090,NM_153050,NM_153051	115.00	246.00
MTMR4	NM_004687	130.00	162.00
MTMR6	NM_004685	69.00	73.00
MTMR7	NM_004686	5.00	8.00
MTMR8	NM_017677	0.00	7.00
MTMR9	NM_015458	100.00	231.00
MTMR9LP	NR_026850	4.00	0.00
MTNR1A	NM_005958	0.00	0.00
MTNR1B	NM_005959	0.00	0.00
MTO1	NM_001123226,NM_012123,NM_133645	38.00	82.00
MTOR	NM_004958	320.00	959.00
MTOR-AS1	NR_046600	0.00	0.00
MTPAP	NM_018109	45.00	99.00
MTPN	NM_145808	286.00	256.00
MTR	NM_000254,NM_001291939,NM_001291940	91.00	112.00
MTRF1	NM_004294	15.00	34.00
MTRF1L	NM_001114184,NM_001301047,NM_001301870,NM_001301871,NM_001301872,NM_019041,NR_126056	43.00	103.00
MTRNR2L1	NM_001190452	0.00	0.00
MTRNR2L10	NM_001190708	0.00	0.00
MTRNR2L2	NM_001190470	0.00	2.00
MTRNR2L3	NM_001190472	0.00	0.00
MTRNR2L4	NM_001190476	0.00	0.00
MTRNR2L5	NM_001190478	0.00	0.00
MTRNR2L6	NM_001190487	0.00	0.00
MTRNR2L7	NM_001190489	0.00	0.00
MTRNR2L8	NM_001190702	4.00	3.00
MTRNR2L9	NM_001190706	0.00	0.00
MTRR	NM_002454,NM_024010	85.00	143.00
MTSS1	NM_001282971,NM_001282974,NM_014751	26.00	108.00
MTSS1L	NM_138383	190.00	192.00
MTTP	NM_000253,NM_001300785	0.00	1.00
MTURN	NM_152793	12.00	8.00
MTUS1	NM_001001924,NM_001001925,NM_001001931,NM_001166393,NM_020749	56.00	182.00
MTUS2	NM_001033602,NM_015233	1.00	0.00
MTUS2-AS1	NR_046378	0.00	0.00
MTVR2	NR_027025	0.00	0.00
MTX1	NM_002455,NM_198883	112.00	169.00
MTX2	NM_006554,NR_027850	74.00	100.00
MTX3	NM_001010891,NM_001167741	39.00	77.00
MUC1	NM_001018016,NM_001018017,NM_001044390,NM_001044391,NM_001044392,NM_001044393,NM_001204285,NM_001204286,NM_001204287,NM_001204288,NM_001204289,NM_001204290,NM_001204291,NM_001204292,NM_001204293,NM_001204294,NM_001204295,NM_001204296,NM_001204297,NM_002456	3.00	3.00
MUC12	NM_001164462	1.00	0.00
MUC13	NM_033049	0.00	0.00
MUC15	NM_001135091,NM_001135092,NM_145650	20.00	1.00
MUC16	NM_024690	0.00	1.00
MUC17	NM_001040105	0.00	0.00
MUC19	NM_173600	0.00	0.00
MUC2	NM_002457	0.00	0.00
MUC20	NM_001282506,NM_001291833,NM_020790,NM_152673	4.00	8.00
MUC21	NM_001010909_3,NR_130720	0.00	0.00
MUC22	NM_001198815_3	0.00	0.00
MUC3A	NM_005960	18.00	16.00
MUC4	NM_004532_2,NM_018406_5,NM_138297_1	22.00	84.00
MUC5AC	NM_001304359	0.00	0.00
MUC5B	NM_002458	5.00	5.00
MUC6	NM_005961	0.00	0.00
MUC7	NM_001145006,NM_001145007,NM_152291	0.00	0.00
MUCL1	NM_058173	0.00	0.00
MUL1	NM_024544	116.00	205.00
MUM1	NM_032853,NR_024247	82.00	170.00
MUM1L1	NM_001171020,NM_152423	2.00	0.00
MURC	NM_001018116	2.00	1.00
MUS81	NM_025128	83.00	114.00
MUSK	NM_001166280,NM_001166281,NM_005592	0.00	0.00
MUSTN1	NM_205853	5.00	9.00
MUT	NM_000255	32.00	36.00
MUTYH	NM_001048171,NM_001048172,NM_001048173,NM_001048174,NM_001128425,NM_001293190,NM_001293191,NM_001293192,NM_001293195,NM_001293196,NM_012222	18.00	68.00
MVB12A	NM_001304547,NM_138401	76.00	53.00
MVB12B	NM_001011703,NM_033446	40.00	49.00
MVD	NM_002461	164.00	222.00
MVK	NM_000431,NM_001114185,NM_001301182	110.00	94.00
MVP	NM_001293204,NM_001293205,NM_005115,NM_017458	184.00	90.00
MX1	NM_001144925,NM_001178046,NM_001282920,NM_002462	42.00	428.00
MX2	NM_002463	0.00	1.00
MXD1	NM_001202513,NM_001202514,NM_002357	52.00	18.00
MXD3	NM_001142935,NM_031300	15.00	12.00
MXD4	NM_006454	157.00	91.00
MXI1	NM_001008541,NM_005962,NM_130439	12.00	9.00
MXRA5	NM_015419	140.00	511.00
MXRA7	NM_001008528,NM_001008529,NM_198530,NR_130926,NR_130927,NR_130928	116.00	86.00
MXRA8	NM_001282582,NM_001282583,NM_001282584,NM_001282585,NM_032348	338.00	128.00
MYADM	NM_001020818,NM_001020819,NM_001020820,NM_001020821,NM_001290188,NM_001290189,NM_001290190,NM_001290191,NM_001290192,NM_001290193,NM_001290194,NM_138373	522.00	912.00
MYADML	NR_003143	0.00	0.00
MYADML2	NM_001145113	0.00	0.00
MYB	NM_001130172,NM_001130173,NM_001161656,NM_001161657,NM_001161658,NM_001161659,NM_001161660,NM_005375	3.00	9.00
MYBBP1A	NM_001105538,NM_014520	327.00	663.00
MYBL1	NM_001080416,NM_001144755,NM_001294282	7.00	9.00
MYBL2	NM_001278610,NM_002466	1380.00	4593.00
MYBPC1	NM_001254718,NM_001254719,NM_001254720,NM_001254721,NM_001254722,NM_001254723,NM_002465,NM_206819,NM_206820,NM_206821	0.00	1.00
MYBPC2	NM_004533	5.00	0.00
MYBPC3	NM_000256	0.00	0.00
MYBPH	NM_004997	12.00	1.00
MYBPHL	NM_001010985,NM_001265613	0.00	0.00
MYC	NM_002467	234.00	213.00
MYCBP	NM_012333,NR_037632	78.00	110.00
MYCBP2	NM_015057	109.00	155.00
MYCBP2-AS1	NR_046716	0.00	0.00
MYCBPAP	NM_032133	1.00	0.00
MYCL	NM_001033081,NM_001033082,NM_005376	34.00	77.00
MYCN	NM_001293228,NM_001293231,NM_001293233,NM_005378	189.00	521.00
MYCNOS	NR_026766,NR_110230	0.00	1.00
MYCNUT	NR_125783	0.00	0.00
MYCT1	NM_025107	14.00	9.00
MYD88	NM_001172566,NM_001172567,NM_001172568,NM_001172569,NM_002468	89.00	115.00
MYDGF	NM_019107	155.00	159.00
MYEF2	NM_001301210,NM_016132,NR_125408	6.00	2.00
MYEOV	NM_001293291,NM_001293294,NM_001293296,NM_001300923,NM_001300924,NM_138768	0.00	0.00
MYEOV2	NM_001163424,NM_138336	47.00	66.00
MYF5	NM_005593	0.00	2.00
MYF6	NM_002469	0.00	0.00
MYH1	NM_005963	0.00	0.00
MYH10	NM_001256012,NM_001256095,NM_005964	791.00	1239.00
MYH11	NM_001040113_1,NM_001040114,NM_002474_1,NM_022844	8.00	4.00
MYH13	NM_003802	0.00	1.00
MYH14	NM_001077186,NM_001145809,NM_024729	19.00	28.00
MYH15	NM_014981	0.00	1.00
MYH16	NR_002147	0.00	0.00
MYH2	NM_001100112,NM_017534	0.00	0.00
MYH3	NM_002470	2.00	6.00
MYH4	NM_017533	0.00	0.00
MYH6	NM_002471	0.00	0.00
MYH7	NM_000257	0.00	0.00
MYH7B	NM_020884	5.00	37.00
MYH8	NM_002472	0.00	0.00
MYH9	NM_002473	1957.00	2809.00
MYHAS	NR_125367	2.00	1.00
MYL1	NM_079420,NM_079422	0.00	0.00
MYL10	NM_138403	0.00	0.00
MYL12A	NM_001303047,NM_001303048,NM_001303049,NM_006471	396.00	547.00
MYL12B	NM_001144944,NM_001144945,NM_033546	487.00	584.00
MYL2	NM_000432	0.00	0.00
MYL3	NM_000258	1.00	1.00
MYL4	NM_001002841,NM_002476	62.00	28.00
MYL5	NM_002477	10.00	11.00
MYL6	NM_021019,NM_079423	1296.00	1724.00
MYL6B	NM_001199629,NM_002475	55.00	60.00
MYL7	NM_021223	11.00	2.00
MYL9	NM_006097,NM_181526	273.00	188.00
MYLIP	NM_013262	145.00	84.00
MYLK	NM_053025,NM_053026,NM_053027,NM_053028,NM_053031,NM_053032	21.00	1.00
MYLK-AS1	NR_038266,NR_121654	0.00	0.00
MYLK-AS2	NR_046629	0.00	0.00
MYLK2	NM_033118	0.00	4.00
MYLK3	NM_001308301,NM_182493	33.00	15.00
MYLK4	NM_001012418	0.00	0.00
MYLPF	NM_013292	0.00	18.00
MYNN	NM_001185118,NM_001185119,NM_018657,NR_033702,NR_033703	30.00	47.00
MYO10	NM_012334	236.00	287.00
MYO15A	NM_016239	0.00	0.00
MYO15B	NM_001309242	11.00	3.00
MYO16	NM_001198950,NM_015011	0.00	0.00
MYO16-AS1	NR_047700	0.00	0.00
MYO18A	NM_078471,NM_203318	82.73	80.35
MYO18B	NM_032608	18.00	8.00
MYO19	NM_001033580,NM_001163735,NM_025109	163.00	357.00
MYO1A	NM_001256041,NM_005379	0.00	2.00
MYO1B	NM_001130158,NM_001161819,NM_012223	245.00	357.00
MYO1C	NM_001080779,NM_001080950,NM_033375	262.00	373.00
MYO1D	NM_001303279,NM_001303280,NM_015194	137.00	87.00
MYO1E	NM_004998	119.00	333.00
MYO1F	NM_012335	0.00	1.00
MYO1G	NM_033054	1.00	20.00
MYO1H	NM_001101421	0.00	0.00
MYO3A	NM_017433	1.00	2.00
MYO3B	NM_001083615,NM_138995,NR_045682,NR_045683,NR_045684	0.00	1.00
MYO5A	NM_000259,NM_001142495	128.00	533.00
MYO5B	NM_001080467	119.00	85.00
MYO5C	NM_018728	18.00	34.00
MYO6	NM_001300899,NM_004999	85.00	113.00
MYO7A	NM_000260,NM_001127179,NM_001127180	14.00	8.00
MYO7B	NM_001080527	0.00	0.00
MYO9A	NM_006901	38.00	120.00
MYO9B	NM_001130065,NM_004145	303.00	290.00
MYOC	NM_000261	0.00	0.00
MYOCD	NM_001146312,NM_153604	18.00	3.00
MYOD1	NM_002478	0.00	0.00
MYOF	NM_013451,NM_133337	446.00	132.00
MYOG	NM_002479	0.00	0.00
MYOM1	NM_003803,NM_019856	1.00	6.00
MYOM2	NM_003970	0.00	4.00
MYOM3	NM_152372	1.00	0.00
MYOT	NM_001135940,NM_001300911,NM_006790	0.00	0.00
MYOZ1	NM_021245	1.00	3.00
MYOZ2	NM_016599	0.00	1.00
MYOZ3	NM_001122853,NM_133371	5.00	9.00
MYPN	NM_001256267,NM_001256268,NM_032578,NR_045662,NR_045663	0.00	0.00
MYPOP	NM_001012643	7.00	12.00
MYRF	NM_001127392,NM_013279	841.00	173.00
MYRFL	NM_182530	0.00	0.00
MYRIP	NM_001284423,NM_001284424,NM_001284425,NM_001284426,NM_015460,NR_104316	0.00	0.00
MYSM1	NM_001085487	92.00	381.00
MYT1	NM_004535	0.00	0.00
MYT1L	NM_001303052,NM_015025	0.00	0.00
MYT1L-AS1	NR_024468	0.00	0.00
MYZAP	NM_001018100,NM_152451	5.00	2.00
MZB1	NM_016459	0.00	0.00
MZF1	NM_001267033,NM_003422,NM_198055	20.00	34.00
MZF1-AS1	NR_027334	0.00	0.00
MZT1	NM_001071775	25.00	51.00
MZT2A	NM_001085365	41.46	77.46
MZT2B	NM_025029	105.54	74.54
N4BP1	NM_153029	90.00	154.00
N4BP2	NM_018177	131.00	350.00
N4BP2L1	NM_001079691,NM_001286459,NM_001286460,NM_001286461,NM_052818	0.00	0.00
N4BP2L2	NM_001278432,NM_014887,NM_033111	32.00	41.00
N4BP2L2-IT2	NR_026928	0.00	4.00
N4BP3	NM_015111	40.00	216.00
N6AMT1	NM_013240,NM_182749,NR_047510	5.00	26.00
N6AMT2	NM_174928	10.00	0.00
NAA10	NM_001256119,NM_001256120,NM_003491	144.00	224.00
NAA11	NM_032693	10.00	21.00
NAA15	NM_057175	304.00	613.00
NAA16	NM_001110798,NM_018527,NM_024561	29.00	61.00
NAA20	NM_016100,NM_181527,NM_181528	44.00	55.00
NAA25	NM_024953	70.00	214.00
NAA30	NM_001011713	81.00	121.00
NAA35	NM_024635	61.00	127.00
NAA38	NM_032356	23.00	38.00
NAA40	NM_001300800,NM_024771	60.00	54.00
NAA50	NM_001308445,NM_025146	427.00	890.00
NAA60	NM_001083600,NM_001083601,NM_024845	146.00	180.00
NAAA	NM_001042402,NM_014435	3.00	13.00
NAALAD2	NM_001300930,NM_005467	101.00	43.00
NAALADL1	NM_005468	2.00	1.00
NAALADL2	NM_207015	2.00	0.00
NAALADL2-AS1	NR_046714	0.00	0.00
NAALADL2-AS2	NR_046713	0.00	0.00
NAALADL2-AS3	NR_046390	0.00	0.00
NAB1	NM_005966	36.00	11.00
NAB2	NM_005967	31.00	27.00
NABP1	NM_001031716,NM_001254736,NR_045622,NR_045623	41.00	36.00
NABP2	NM_024068	18.00	31.00
NACA	NM_001113202,NM_001113203,NR_045277	1030.00	1634.00
NACA2	NM_199290	0.00	0.00
NACAD	NM_001146334	28.00	38.00
NACAP1	NR_002182	1.00	0.00
NACC1	NM_052876	672.00	1042.00
NACC2	NM_144653	69.00	95.00
NADK	NM_001198993,NM_001198994,NM_001198995,NM_023018	161.00	369.00
NADK2	NM_001085411,NM_001287340,NM_001287341,NM_153013	22.00	17.00
NADSYN1	NM_018161	52.00	88.00
NAE1	NM_001018159,NM_001018160,NM_001286500,NM_003905	122.00	237.00
NAF1	NM_001128931,NM_138386	26.00	77.00
NAGA	NM_000262	123.00	183.00
NAGK	NM_017567	119.00	143.00
NAGLU	NM_000263	70.00	77.00
NAGPA	NM_016256	43.00	69.00
NAGPA-AS1	NR_038913	0.00	0.00
NAGS	NM_153006	1.00	0.00
NAIF1	NM_197956	17.00	26.00
NAIP	NM_004536_3,NM_004536_4,NM_022892_3,NM_022892_4	9.00	0.00
NALCN	NM_052867	0.00	0.00
NALCN-AS1	NR_047687	0.00	0.00
NAMA	NR_102270,NR_102271	0.00	0.00
NAMPT	NM_005746	195.00	346.00
NANOG	NM_001297698,NM_024865	103.00	778.00
NANOGNB	NM_001145465	1.00	0.00
NANOS1	NM_199461	12.00	34.00
NANOS2	NM_001029861	0.00	0.00
NANOS3	NM_001098622	0.00	0.00
NANP	NM_152667	34.00	82.00
NANS	NM_018946	139.00	226.00
NAP1L1	NM_001307924,NM_004537,NM_139207	986.00	2003.00
NAP1L2	NM_021963	2.00	8.00
NAP1L3	NM_004538	33.00	7.00
NAP1L4	NM_005969	260.00	479.00
NAP1L5	NM_153757	20.00	11.00
NAP1L6	NR_027291	0.00	3.00
NAPA	NM_003827,NR_038456,NR_038457	273.00	374.00
NAPA-AS1	NR_038452	1.00	0.00
NAPB	NM_001283018,NM_001283020,NM_001283026,NM_022080,NR_104266	11.00	32.00
NAPEPLD	NM_001122838,NM_198990	13.00	20.00
NAPG	NM_003826	63.00	95.00
NAPRT	NM_001286829,NM_145201	50.00	79.00
NAPSA	NM_004851	0.00	0.00
NAPSB	NR_002798	0.00	0.00
NARF	NM_001038618,NM_001083608,NM_012336,NM_031968	69.00	185.00
NARFL	NM_001304799,NM_022493	66.00	142.00
NARR	NM_001256281	0.00	4.81
NARS	NM_004539	478.00	1476.00
NARS2	NM_001243251,NM_024678	34.00	84.00
NASP	NM_001195193,NM_002482,NM_152298	631.00	1228.00
NAT1	NM_000662,NM_001160170,NM_001160171,NM_001160172,NM_001160173,NM_001160174,NM_001160175,NM_001160176,NM_001160179,NM_001291962	19.00	19.00
NAT10	NM_001144030,NM_024662	272.00	525.00
NAT14	NM_020378	31.00	51.00
NAT16	NM_198571	0.00	1.00
NAT2	NM_000015	0.00	3.00
NAT6	NM_001200016,NM_001200018,NM_012191	9.00	25.00
NAT8	NM_003960	0.00	0.00
NAT8B	NM_016347,NR_132338	0.00	0.00
NAT8L	NM_178557	26.00	11.00
NAT9	NM_001305077,NM_001305078,NM_001305079,NM_001305080,NM_001305081,NM_001305082,NM_001305083,NM_001305084,NM_001305085,NM_001305086,NM_001305087,NM_001305088,NM_015654,NR_130953,NR_130954	42.00	86.00
NATD1	NM_152914	119.00	241.00
NAV1	NM_001167738,NM_020443	445.00	205.00
NAV2	NM_001111018,NM_001111019,NM_001244963,NM_145117,NM_182964	401.00	271.00
NAV2-AS2	NR_046672	0.00	0.00
NAV2-AS4	NR_033989	1.00	0.00
NAV2-AS5	NR_049725	0.00	0.00
NAV3	NM_001024383,NM_014903	2.00	0.00
NBAS	NM_015909,NR_052013	116.00	241.00
NBAT1	NR_034143	0.00	0.00
NBEA	NM_001204197,NM_015678	9.00	9.00
NBEAL1	NM_001114132	13.00	31.00
NBEAL2	NM_015175	192.00	252.00
NBEAP1	NR_027992	0.00	0.00
NBL1	NM_001204084,NM_001204085,NM_001204086,NM_001278164,NM_001278165,NM_001278166,NM_005380,NM_182744	37.00	15.00
NBN	NM_001024688,NM_002485	103.00	183.00
NBPF1	NM_017940	42.45	42.61
NBPF10	NM_001039703,NM_001302371	1.14	0.00
NBPF11	NM_001101663,NM_183372,NR_046188,NR_110864	44.03	181.07
NBPF12	NM_001278141	29.40	127.63
NBPF13P	NR_103466	0.00	0.00
NBPF14	NM_015383	26.78	10.55
NBPF15	NM_001170755,NM_173638	40.96	72.35
NBPF18P	NR_103561	0.00	0.00
NBPF20	NM_001278267	16.71	17.18
NBPF22P	NR_003719	0.00	0.00
NBPF25P	NR_104217	1.79	1.68
NBPF3	NM_001256416,NM_001256417,NM_032264,NR_046176	19.00	25.00
NBPF4	NM_001143989	2.00	0.00
NBPF6	NM_001143987,NM_001143988	0.00	0.00
NBPF7	NM_001047980	0.00	0.00
NBPF8	NM_001037501,NR_102404,NR_102405	82.96	171.28
NBPF9	NM_001037675,NM_001277444	66.78	162.66
NBR1	NM_001291571,NM_001291572,NM_005899,NM_031862	67.00	139.00
NBR2	NR_003108	1.00	5.00
NCALD	NM_001040624,NM_001040625,NM_001040626,NM_001040627,NM_001040628,NM_001040629,NM_001040630,NM_032041	19.00	25.00
NCAM1	NM_000615,NM_001076682,NM_001242607,NM_001242608,NM_181351	48.00	4.00
NCAM1-AS1	NR_034101	0.00	0.00
NCAM2	NM_004540	10.00	0.00
NCAN	NM_004386	1.00	4.00
NCAPD2	NM_014865	356.00	413.00
NCAPD3	NM_015261	102.00	300.00
NCAPG	NM_022346,NR_073124	190.00	286.00
NCAPG2	NM_001281932,NM_001281933,NM_017760,NR_104054	96.00	198.00
NCAPH	NM_001281710,NM_001281711,NM_001281712,NM_015341	103.00	144.00
NCAPH2	NM_001185011,NM_014551,NM_152299	180.00	266.00
NCBP1	NM_002486	205.00	266.00
NCBP2	NM_001042540,NM_001308036,NM_007362	249.00	520.00
NCBP2-AS2	NR_024388	59.00	127.00
NCCRP1	NM_001001414	37.00	3.00
NCDN	NM_001014839,NM_001014841,NM_014284	107.00	130.00
NCEH1	NM_001146276,NM_001146277,NM_001146278,NM_020792	63.00	208.00
NCF1	NM_000265	0.00	0.00
NCF1B	NR_003186	0.00	0.00
NCF1C	NR_003187	0.00	3.00
NCF2	NM_000433,NM_001127651,NM_001190789,NM_001190794	0.00	2.00
NCF4	NM_000631,NM_013416_1	0.00	0.00
NCK1	NM_001190796,NM_001291999,NM_006153	37.00	41.00
NCK1-AS1	NR_110175,NR_110176,NR_110177	1.00	3.00
NCK2	NM_001004720,NM_001004722,NM_003581	145.00	219.00
NCKAP1	NM_013436,NM_205842	434.00	467.00
NCKAP1L	NM_001184976,NM_005337	0.00	0.00
NCKAP5	NM_207363,NM_207481	9.00	1.00
NCKAP5L	NM_001037806	113.00	67.00
NCKIPSD	NM_016453,NM_184231	53.00	170.00
NCL	NM_005381	2206.00	4464.00
NCLN	NM_020170	412.00	824.00
NCMAP	NM_001010980	0.00	1.00
NCOA1	NM_003743,NM_147223,NM_147233	233.00	406.00
NCOA2	NM_006540	70.00	154.00
NCOA3	NM_001174087,NM_001174088,NM_006534,NM_181659	221.00	457.00
NCOA4	NM_001145260,NM_001145261,NM_001145262,NM_001145263,NM_005437	592.00	1165.00
NCOA5	NM_020967	197.00	229.00
NCOA6	NM_001242539,NM_014071	161.00	211.00
NCOA7	NM_001122842,NM_001199619,NM_001199620,NM_001199621,NM_001199622,NM_181782	27.00	53.00
NCOA7-AS1	NR_126386	0.00	0.00
NCOR1	NM_001190438,NM_001190440,NM_006311	312.00	567.00
NCOR1P1	NR_003678	0.00	0.00
NCOR2	NM_001077261,NM_001206654,NM_006312	585.00	933.00
NCR1	NM_001145457_9,NM_001145458_2,NM_001242356_2,NM_001242357,NM_004829	0.00	4.00
NCR2	NM_001199509,NM_001199510,NM_004828	0.00	0.00
NCR3	NM_001145466_1,NM_001145467,NM_147130_4	2.00	0.00
NCR3LG1	NM_001202439	9.00	2.00
NCRNA00250	NR_126028	0.00	0.00
NCRUPAR	NR_028375	0.00	0.00
NCS1	NM_001128826,NM_014286	60.00	34.00
NCSTN	NM_001290184,NM_001290186,NM_015331	411.00	406.00
NDC1	NM_001168551,NM_018087,NR_033142	250.00	492.00
NDC80	NM_006101	78.00	145.00
NDE1	NM_001143979_1,NM_017668	40.00	73.00
NDEL1	NM_001025579,NM_030808	155.00	188.00
NDFIP1	NM_030571	241.00	260.00
NDFIP2	NM_001161407,NM_019080	91.00	69.00
NDFIP2-AS1	NR_046685	0.00	0.00
NDN	NM_002487	207.00	137.00
NDNF	NM_024574	0.00	0.00
NDNL2	NM_138704_1	33.00	80.00
NDOR1	NM_001144026,NM_001144027,NM_001144028,NM_014434	142.00	298.00
NDP	NM_000266	0.00	0.00
NDRG1	NM_001135242,NM_001258432,NM_001258433,NM_006096	112.00	50.00
NDRG2	NM_001282211,NM_001282212,NM_001282213,NM_001282214,NM_001282215,NM_001282216,NM_016250,NM_201535,NM_201536,NM_201537,NM_201538,NM_201539,NM_201540,NM_201541	44.00	18.00
NDRG3	NM_022477,NM_032013,NR_038370	52.00	153.00
NDRG4	NM_001130487,NM_001242833,NM_001242834,NM_001242835,NM_001242836,NM_020465,NM_022910,NR_040072	7.00	21.00
NDST1	NM_001301063,NM_001543	804.00	744.00
NDST2	NM_003635	47.00	74.00
NDST3	NM_004784	1.00	0.00
NDST4	NM_022569	0.00	0.00
NDUFA1	NM_004541	108.00	197.00
NDUFA10	NM_004544	142.00	262.00
NDUFA11	NM_001193375,NM_175614,NR_034166	293.00	458.00
NDUFA12	NM_001258338,NM_018838	128.00	274.00
NDUFA13	NM_015965	145.00	314.00
NDUFA2	NM_001185012,NM_002488,NR_033697	68.00	127.00
NDUFA3	NM_004542	84.00	154.00
NDUFA4	NM_002489	385.00	834.00
NDUFA4L2	NM_020142	1.00	0.00
NDUFA5	NM_001282419,NM_001282420,NM_001282421,NM_001282422,NM_001291304,NM_005000,NR_104168,NR_104169,NR_111925,NR_111926	77.00	140.00
NDUFA6	NM_002490	202.00	354.00
NDUFA6-AS1	NR_034118,NR_034118_1	4.00	3.00
NDUFA7	NM_005001	86.00	148.00
NDUFA8	NM_014222	90.00	162.00
NDUFA9	NM_005002	142.00	276.00
NDUFAB1	NM_005003	211.00	840.00
NDUFAF1	NM_016013,NR_045620	21.00	41.00
NDUFAF2	NM_174889	24.00	25.00
NDUFAF3	NM_199069,NM_199070,NM_199073,NM_199074	58.00	46.00
NDUFAF4	NM_014165	42.00	156.00
NDUFAF4P1	NR_036507	0.00	0.00
NDUFAF5	NM_001039375,NM_024120,NR_029377	16.00	47.00
NDUFAF6	NM_152416	17.00	17.00
NDUFAF7	NM_001083946,NM_144736	43.00	115.00
NDUFB1	NM_004545	19.00	53.00
NDUFB10	NM_004548	196.00	383.00
NDUFB11	NM_001135998,NM_019056	232.00	365.00
NDUFB2	NM_004546	79.00	159.00
NDUFB2-AS1	NR_024454	1.00	3.00
NDUFB3	NM_001257102,NM_002491	52.00	99.00
NDUFB4	NM_001168331,NM_004547	178.00	216.00
NDUFB5	NM_001199957,NM_001199958,NM_002492	68.00	158.00
NDUFB6	NM_001199987,NM_002493,NM_182739	56.00	60.00
NDUFB7	NM_004146	261.00	523.00
NDUFB8	NM_001284367,NM_001284368,NM_005004	145.00	278.00
NDUFB9	NM_001278645,NM_001278646,NM_001311168,NM_005005	188.00	620.00
NDUFC1	NM_001184986,NM_001184987,NM_001184988,NM_001184989,NM_001184990,NM_001184991,NM_002494	65.00	124.00
NDUFC2	NM_001204054,NM_001204055,NM_004549	208.95	457.47
NDUFC2-KCTD14	NM_001203260,NM_001203261,NM_001203262	42.21	19.53
NDUFS1	NM_001199981,NM_001199982,NM_001199983,NM_001199984,NM_005006	133.00	287.00
NDUFS2	NM_001166159,NM_004550	118.00	239.00
NDUFS3	NM_004551	116.00	221.00
NDUFS4	NM_002495	39.00	35.00
NDUFS5	NM_001184979,NM_004552	163.00	437.00
NDUFS6	NM_004553	100.00	161.00
NDUFS7	NM_024407	182.00	294.00
NDUFS8	NM_002496	165.00	263.00
NDUFV1	NM_001166102,NM_007103	353.00	1005.00
NDUFV2	NM_021074	93.00	274.00
NDUFV2-AS1	NR_110771,NR_110772	1.00	0.00
NDUFV3	NM_001001503,NM_021075	80.00	123.00
NEAT1	NR_028272,NR_131012	80.00	67.00
NEB	NM_001164507,NM_001164508,NM_001271208,NM_004543	7.00	15.00
NEBL	NM_001173484,NM_006393,NM_213569	45.00	13.00
NEBL-AS1	NR_046283,NR_046284	0.00	0.00
NECAB1	NM_022351	1.00	1.00
NECAB2	NM_019065	5.00	0.00
NECAB3	NM_031231,NM_031232	39.00	64.00
NECAP1	NM_015509,NR_024260	70.00	129.00
NECAP2	NM_001145277,NM_001145278,NM_018090	121.00	150.00
NEDD1	NM_001135175,NM_001135176,NM_001135177,NM_152905	42.00	72.00
NEDD4	NM_001284338,NM_001284339,NM_001284340,NM_006154,NM_198400,NR_104302	62.00	70.00
NEDD4L	NM_001144964,NM_001144965,NM_001144966,NM_001144967,NM_001144968,NM_001144969,NM_001144970,NM_001144971,NM_001243960,NM_015277	117.00	38.00
NEDD8	NM_006156	176.00	259.00
NEDD8-MDP1	NM_001199823	0.00	0.00
NEDD9	NM_001142393,NM_001271033,NM_006403,NM_182966,NR_073131	66.00	69.00
NEFH	NM_021076	207.00	1131.00
NEFL	NM_006158	24.00	16.00
NEFM	NM_001105541,NM_005382	6.00	1.00
NEGR1	NM_173808	1.00	0.00
NEGR1-IT1	NR_046218	0.00	0.00
NEIL1	NM_001256552,NM_024608,NR_046311	4.00	4.00
NEIL2	NM_001135746,NM_001135747,NM_001135748,NM_145043	23.00	30.00
NEIL3	NM_018248	21.00	19.00
NEK1	NM_001199397,NM_001199398,NM_001199399,NM_001199400,NM_012224	27.00	40.00
NEK10	NM_001031741,NM_001304384,NM_152534,NM_199347	1.00	0.00
NEK11	NM_001146003,NM_024800,NM_145910	2.00	1.00
NEK2	NM_001204182,NM_001204183,NM_002497	40.00	56.00
NEK3	NM_001146099,NM_002498,NM_152720,NR_027415	34.00	59.00
NEK4	NM_001193533,NM_003157	40.00	92.00
NEK5	NM_199289	4.00	1.00
NEK6	NM_001145001,NM_001166167,NM_001166168,NM_001166169,NM_001166170,NM_001166171,NM_014397	93.00	141.00
NEK7	NM_133494	36.00	54.00
NEK8	NM_178170	13.00	37.00
NEK9	NM_033116	126.00	154.00
NELFA	NM_005663	103.00	181.00
NELFB	NM_015456	229.00	358.00
NELFCD	NM_198976	167.00	276.00
NELFE	NM_002904_2	114.00	240.00
NELL1	NM_001288713,NM_001288714,NM_006157,NM_201551	0.00	1.00
NELL2	NM_001145107,NM_001145108,NM_001145109,NM_001145110,NM_006159	5.00	4.00
NEMF	NM_001301732,NM_004713	91.00	193.00
NEMP1	NM_001130963,NM_015257	82.00	208.00
