gene_id	transcript_id(s)	H9_naive_EZH2i_R1	H9_naive_none_R1
SLC3A2	NM_001012662,NM_001012664,NM_001013251,NM_002394,NR_037193	861.00	1256.00
SLC40A1	NM_014585	131.00	10.00
SLC41A1	NM_173854	53.00	63.00
SLC41A2	NM_032148	3.00	3.00
SLC41A3	NM_001008485,NM_001008486,NM_001008487,NM_001164475,NM_017836	62.00	68.00
SLC43A1	NM_001198810,NM_003627	9.00	13.00
SLC43A2	NM_001284498,NM_001284499,NM_152346	141.00	99.00
SLC43A3	NM_001278201,NM_001278206,NM_014096,NM_017611,NM_199329	29.00	12.00
SLC44A1	NM_001286730,NM_080546	133.00	409.00
SLC44A2	NM_001145056,NM_020428	884.00	1235.00
SLC44A3	NM_001114106,NM_001258340,NM_001258341,NM_001258342,NM_001258343,NM_001301079,NM_152369	17.00	12.00
SLC44A4	NM_001178044_2,NM_001178045_1,NM_025257	1.00	0.00
SLC44A5	NM_001130058,NM_152697	3.00	1.00
SLC45A1	NM_001080397	1.00	0.00
SLC45A2	NM_001012509_1,NM_001297417,NM_016180_1	4.00	1.00
SLC45A3	NM_033102	19.00	37.00
SLC45A4	NM_001080431,NM_001286646,NM_001286648	48.00	117.00
SLC46A1	NM_001242366,NM_080669	67.00	51.00
SLC46A2	NM_033051	0.00	0.00
SLC46A3	NM_001135919,NM_181785	3.00	6.00
SLC47A1	NM_018242	23.00	34.00
SLC47A2	NM_001099646,NM_001256663,NM_152908	0.00	0.00
SLC48A1	NM_017842	15.00	11.00
SLC4A1	NM_000342	0.00	3.00
SLC4A10	NM_001178015,NM_001178016,NM_022058	0.00	0.00
SLC4A11	NM_001174089,NM_001174090,NM_032034	67.00	192.00
SLC4A1AP	NM_018158	73.00	156.00
SLC4A2	NM_001199692,NM_001199693,NM_001199694,NM_003040	595.00	625.00
SLC4A3	NM_005070,NM_201574,NR_048551	19.00	42.00
SLC4A4	NM_001098484,NM_001134742,NM_003759	1.00	0.00
SLC4A5	NM_021196,NM_133478	4.00	1.00
SLC4A7	NM_001258379,NM_001258380,NM_003615	50.00	128.00
SLC4A8	NM_001039960,NM_001258401,NM_001258402,NM_001258403,NM_001267615,NR_047672	168.00	140.00
SLC4A9	NM_001258426,NM_001258427,NM_001258428,NM_031467	0.00	0.00
SLC50A1	NM_001122837,NM_001122839,NM_001287586,NM_001287587,NM_001287588,NM_001287589,NM_001287590,NM_001287591,NM_001287592,NM_018845	30.00	40.00
SLC51A	NM_152672	0.00	0.00
SLC51B	NM_178859	0.00	0.00
SLC52A1	NM_001104577,NM_017986	4.00	13.00
SLC52A2	NM_001253815,NM_001253816,NM_024531,NR_045600	239.00	362.00
SLC52A3	NM_033409	10.00	33.00
SLC5A1	NM_000343,NM_001256314	0.00	0.00
