gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
AC010226.4	AC010226.4	0.552093	2.071576	0.931885	0	0	0.873797	2.77142	1.252103	0.8803	1.380307	2.378247	0.634726	1.269738	1.027748
AC010524.2	AC010524.2	0	0	0	0.412167	0	0	0.333452	0	0	0	0.03351	0	0	0.072956
AC010731.4	AC010731.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010890.1	AC010890.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010975.1	AC010975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010987.6	AC010987.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011298.2	AC011298.2	0	0	0	0	0	0	0	0	0	0	0	0.099945	0	0
AC011343.1	AC011343.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011518.1	AC011518.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011609.3	AC011609.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.2	AC011718.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011738.4	AC011738.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011747.4	AC011747.4	0.013856	0	0	0	0	0	0	0	0	0	0	0.08242	0	0
AC011747.7	AC011747.7	2.968251	1.185813	2.120778	1.874764	0	1.401919	0.605911	0.286941	0	0.235072	1.040367	4.18385	2.033222	0.26918
AC011899.9	AC011899.9	2.289367	0.378348	0.166351	0.17193	0	0.161298	0	0.846119	0	0.531901	0.235969	1.572351	0.1531	0.198503
AC012075.2	AC012075.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012309.5	AC012309.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012314.8	AC012314.8	0.091927	0.0327	0.110903	0.059439	0.221219	0.181217	0.119846	0.857548	1.246361	0	0.334917	0.202205	0.297833	0.842165
AC012494.1	AC012494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012507.3	AC012507.3	0.111064	0	0	0	0	0	0	0	0	0	0	0	0	0
AC015922.6	AC015922.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016582.2	AC016582.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016629.8	AC016629.8	0.383229	0.4906	0.082068	0.627785	0.092274	0.185712	0	0.398598	0	0	0.194947	0.427333	0.397437	0.374037
AC016738.3	AC016738.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016910.1	AC016910.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016995.3	AC016995.3	0	0	0	0	0	0	0	0	0	0	0	0	0.81566	0
AC017060.1	AC017060.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018464.3	AC018464.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
